05/17/2019-14:13:01.506225 kibana [**] / [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:47996 -> 192.168.1.130:5601
05/17/2019-14:13:01.533597 192.168.1.110 [**] /.kibana/doc/config%3A6.5.0 [**] <useragent unknown> [**] 192.168.1.130:41978 -> 192.168.1.110:9200
05/17/2019-14:13:01.553391 kibana [**] /app/kibana [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:47998 -> 192.168.1.130:5601
05/17/2019-14:13:01.506386 198.168.108.119 [**] / [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53862 -> 192.168.1.135:80
05/17/2019-14:13:01.553319 198.168.108.119 [**] /app/kibana [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53862 -> 192.168.1.135:80
05/17/2019-14:13:01.663759 kibana [**] /ui/favicons/favicon-16x16.png [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48008 -> 192.168.1.130:5601
05/17/2019-14:13:01.634838 kibana [**] /bundles/app/kibana/bootstrap.js [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48002 -> 192.168.1.130:5601
05/17/2019-14:13:01.882016 198.168.108.119 [**] /plugins/kibana/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
05/17/2019-14:13:01.886319 198.168.108.119 [**] /plugins/status_page/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53890 -> 192.168.1.135:80
05/17/2019-14:13:01.896569 kibana [**] /plugins/tagcloud/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48034 -> 192.168.1.130:5601
05/17/2019-14:13:01.663897 198.168.108.119 [**] /ui/favicons/favicon-16x16.png [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53874 -> 192.168.1.135:80
05/17/2019-14:13:01.724013 198.168.108.119 [**] /bundles/vendors.style.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53874 -> 192.168.1.135:80
05/17/2019-14:13:01.877478 198.168.108.119 [**] /plugins/console/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53894 -> 192.168.1.135:80
05/17/2019-14:13:01.877996 198.168.108.119 [**] /plugins/tagcloud/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53894 -> 192.168.1.135:80
05/17/2019-14:13:01.903000 kibana [**] /bundles/kibana.style.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48016 -> 192.168.1.130:5601
05/17/2019-14:13:01.724401 198.168.108.119 [**] /plugins/vega/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:01.772230 198.168.108.119 [**] /plugins/timelion/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:01.877564 kibana [**] /plugins/console/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48028 -> 192.168.1.130:5601
05/17/2019-14:13:01.889162 198.168.108.119 [**] /plugins/region_map/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53886 -> 192.168.1.135:80
05/17/2019-14:13:01.884455 kibana [**] /plugins/tile_map/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48032 -> 192.168.1.130:5601
05/17/2019-14:13:01.885999 kibana [**] /plugins/kibana/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48024 -> 192.168.1.130:5601
05/17/2019-14:13:01.889517 198.168.108.119 [**] /bundles/kibana.style.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53882 -> 192.168.1.135:80
05/17/2019-14:13:01.905178 198.168.108.119 [**] /plugins/inspector_views/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53882 -> 192.168.1.135:80
05/17/2019-14:13:01.724452 kibana [**] /plugins/vega/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48020 -> 192.168.1.130:5601
05/17/2019-14:13:01.861389 kibana [**] /bundles/vendors.style.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48010 -> 192.168.1.130:5601
05/17/2019-14:13:01.907723 kibana [**] /plugins/region_map/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48040 -> 192.168.1.130:5601
05/17/2019-14:13:01.656750 kibana [**] /ui/favicons/apple-touch-icon.png [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48004 -> 192.168.1.130:5601
05/17/2019-14:13:01.888724 kibana [**] /plugins/timelion/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48030 -> 192.168.1.130:5601
05/17/2019-14:13:01.903796 kibana [**] /plugins/table_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48036 -> 192.168.1.130:5601
05/17/2019-14:13:01.906261 kibana [**] /plugins/status_page/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48038 -> 192.168.1.130:5601
05/17/2019-14:13:01.918428 198.168.108.119 [**] /plugins/metric_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 198.168.108.119:53894 -> 192.168.1.135:80
05/17/2019-14:13:01.926888 kibana [**] /plugins/markdown_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48044 -> 192.168.1.130:5601
05/17/2019-14:13:01.929580 kibana [**] /plugins/input_control_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48048 -> 192.168.1.130:5601
05/17/2019-14:13:01.918400 kibana [**] /plugins/metric_vis/index.css [**] Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0 [**] 192.168.1.135:48042 -> 192.168.1.130:5601
